wavelength,A18,A24,A28,D50,D55,D65,D75,D95,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,FL3.1,FL3.2,FL3.3,FL3.4,FL3.5,FL3.6,FL3.7,FL3.8,FL3.9,FL3.10,FL3.11,FL3.12,FL3.13,FL3.14,FL3.15,L-B1,L-B2,L-B3,L-B4,L-B5,L-BH1,L-RGB1,L-V1,L-V2,L-1,L-2,L-3,L-4,L-5,L-6,L-7,L-8,L-9,L-10,L-11,L-12,L-13,L-14,L-15,L-LIFX-R,L-LIFX-G,L-LIFX-B
300,7.64491e-07,1.89542e-05,8.63492e-05,1.47596e-05,1.42054e-05,2.10088e-05,2.68148e-05,9.4017e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,8.21466e-07,1.9921e-05,8.97969e-05,2.2737e-05,3.30398e-05,3.27616e-05,3.47393e-05,4.70671e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57855e-06,1.13157e-07,1.48127e-07,0,0,0,0,0,0,0,0,0,0,0,5.15566e-22,0,0,0,0,3.33049e-10,1.44867e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,8.82219e-07,2.09291e-05,9.33529e-05,3.2089e-05,5.27414e-05,4.6625e-05,4.5049e-05,9.14998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27768e-06,4.51999e-07,5.90984e-07,0,0,0,0,0,0,0,0,0,0,0,1.01824e-21,0,0,0,0,1.36936e-09,6.26168e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,9.46968e-07,2.19799e-05,9.70195e-05,4.45611e-05,7.38662e-05,6.48861e-05,6.02571e-05,0.000129886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.096e-06,1.01558e-06,1.32629e-06,0,0,0,0,0,0,0,0,0,0,0,1.5082e-21,0,0,0,0,3.1647e-09,1.51395e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1.01594e-06,2.30747e-05,0.000100799,6.15001e-05,9.49075e-05,8.83725e-05,8.13768e-05,0.000162229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10321e-05,1.80297e-06,2.35175e-06,0,0,0,0,0,0,0,0,0,0,0,1.98559e-21,0,0,0,0,5.7748e-09,2.87826e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1.08937e-06,2.4215e-05,0.000104694,8.39676e-05,0.000115557,0.000118284,0.000109868,0.000188101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40846e-05,2.81321e-06,3.66509e-06,0,0,0,0,0,0,0,0,0,0,0,2.45058e-21,0,0,0,0,9.25543e-09,4.78914e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,1.16752e-06,2.54023e-05,0.000108707,0.000112984,0.000138173,0.000157141,0.00014862,0.000204284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72521e-05,4.04537e-06,5.26401e-06,0,0,0,0,0,0,0,0,0,0,0,2.90333e-21,0,0,0,0,1.36623e-08,7.31665e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,1.25064e-06,2.66381e-05,0.00011284,0.000149395,0.000163866,0.000206587,0.000199621,0.00020939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05332e-05,5.4985e-06,7.14624e-06,0,0,0,0,0,0,0,0,0,0,0,3.34401e-21,0,0,0,0,1.90513e-08,1.05308e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,1.33901e-06,2.79239e-05,0.000117095,0.000192805,0.000195434,0.000268291,0.00026505,0.00020414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39265e-05,7.17166e-06,9.30949e-06,0,0,0,0,0,0,0,0,0,0,0,3.77279e-21,0,0,0,0,2.5478e-08,1.45017e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,1.43292e-06,2.92614e-05,0.000121476,0.000242137,0.000236551,0.00034386,0.000347116,0.000190455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74307e-05,9.06391e-06,1.17515e-05,0,0,0,0,0,0,0,0,0,0,0,4.18981e-21,0,0,0,0,3.29983e-08,1.92994e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1.53266e-06,3.0652e-05,0.000125983,0.000296511,0.000289314,0.00043409,0.000447154,0.000171221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10442e-05,1.11743e-05,1.44699e-05,0,0,0,0,0,0,0,0,0,0,0,4.59526e-21,0,0,0,0,4.16678e-08,2.49938e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,1.63855e-06,3.20975e-05,0.000130621,0.000356329,0.000353967,0.000539532,0.000566012,0.00014679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47658e-05,1.35019e-05,1.74625e-05,0,0,0,0,0,0,0,0,0,0,0,4.98928e-21,0,0,0,0,5.15424e-08,3.16552e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,1.75091e-06,3.35994e-05,0.000135391,0.000422207,0.000431837,0.00066139,0.000705159,0.000115251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8594e-05,1.60458e-05,2.0727e-05,0,0,0,0,0,0,0,0,0,0,0,5.37205e-21,0,0,0,0,6.26778e-08,3.93534e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,1.8701e-06,3.51596e-05,0.000140296,0.000491697,0.000518203,0.000795433,0.000860988,9.26372e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25274e-05,1.88049e-05,2.4261e-05,0,0,0,0,0,0,0,0,0,0,0,5.74372e-21,0,0,0,0,7.51297e-08,4.81586e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,1.99645e-06,3.67797e-05,0.000145339,0.000561102,0.000605373,0.000934893,0.00102748,0.000102777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65647e-05,2.17785e-05,2.80624e-05,0,0,0,0,0,0,0,0,0,0,0,6.10446e-21,0,0,0,0,8.89539e-08,5.81408e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2.13035e-06,3.84616e-05,0.000150521,0.000628215,0.000688623,0.00107553,0.00120095,0.000160456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07044e-05,2.49655e-05,3.21288e-05,0,0,0,0,0,0,0,0,0,0,0,6.45443e-21,0,0,0,0,1.04206e-07,6.937e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,2.27218e-06,4.02069e-05,0.000155845,0.000693091,0.000768634,0.00121754,0.00138144,0.000264954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49451e-05,2.8365e-05,3.64579e-05,0,0,0,0,0,0,0,0,0,0,0,6.7938e-21,0,0,0,0,1.20942e-07,8.19164e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,2.42235e-06,4.20176e-05,0.000161315,0.00075477,0.000844356,0.00135945,0.00156705,0.000420244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92855e-05,3.1976e-05,4.10475e-05,0,0,0,0,0,0,0,0,0,0,0,7.12273e-21,0,0,0,0,1.39218e-07,9.58499e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
