dataset,method,degree,mean_dE,median_dE,p95_dE
original,LCC,1,0.868992141878,0.378430775521,3.14400242068
original,PCC,2,0.641103291761,0.294528095375,2.43875238983
original,PCC,3,0.47572391121,0.268506951856,1.78776915096
original,PCC,4,0.4308148246,0.246831094698,1.58282515912
original,PCC,5,0.376324077138,0.22661349751,1.22213892679
original,RPCC,2,0.597263626358,0.224658015728,2.48711321493
original,RPCC,3,0.503994537205,0.233990769548,2.03926691378
original,RPCC,4,0.467635611972,0.210275693708,2.05190793515
original,RPCC,5,0.464475945373,0.196626847522,2.05197700939
x0.5,LCC,1,0.851284629898,0.373299857146,3.09802081898
x0.5,PCC,2,0.710183097361,0.381189774011,2.33610240013
x0.5,PCC,3,0.592455534367,0.323048471582,1.76827337474
x0.5,PCC,4,0.546598601814,0.308400401502,1.74265509688
x0.5,PCC,5,0.53555579586,0.323865989414,1.58741434794
x0.5,RPCC,2,0.582590930726,0.221680349108,2.4550695975
x0.5,RPCC,3,0.491749520378,0.230507001199,1.97735293113
x0.5,RPCC,4,0.457263844789,0.206809504554,2.01867894578
x0.5,RPCC,5,0.454118121646,0.193076326209,2.01806053712
x2,LCC,1,0.971836915492,0.426662496494,3.34481130299
x2,PCC,2,1.14375948818,0.394660567853,4.45720038424
x2,PCC,3,1.02548141171,0.349195626669,3.60034124491
x2,PCC,4,1.98574343063,0.312442702073,9.34128905098
x2,PCC,5,2.12038725839,0.333157228581,12.6166505464
x2,RPCC,2,0.68071168124,0.244055996235,2.68217477773
x2,RPCC,3,0.570901280118,0.243704311705,2.15188185812
x2,RPCC,4,0.515099715544,0.218727361457,2.18625132118
x2,RPCC,5,0.515141709864,0.203774076342,2.29916842338
