wavelength,X,Y,Z
365.00,0.00,0.00,0.00
370.00,0.00,0.00,0.00
375.00,0.00,0.00,0.00
380.00,0.00,0.00,0.00
385.00,0.00,0.00,0.00
390.00,0.00,0.00,0.01
395.00,0.01,0.00,0.03
400.00,0.02,0.00,0.09
405.00,0.04,0.00,0.20
410.00,0.08,0.01,0.39
415.00,0.14,0.01,0.66
420.00,0.20,0.02,0.97
425.00,0.26,0.03,1.28
430.00,0.31,0.04,1.55
435.00,0.36,0.05,1.80
440.00,0.38,0.06,1.97
445.00,0.39,0.07,2.03
450.00,0.37,0.09,1.99
455.00,0.34,0.11,1.90
460.00,0.30,0.13,1.75
465.00,0.25,0.15,1.55
470.00,0.20,0.19,1.32
475.00,0.13,0.22,1.03
480.00,0.08,0.25,0.77
485.00,0.04,0.30,0.57
490.00,0.02,0.34,0.42
495.00,0.01,0.40,0.30
500.00,0.00,0.46,0.22
505.00,0.02,0.53,0.16
510.00,0.04,0.61,0.11
515.00,0.07,0.69,0.08
520.00,0.12,0.76,0.06
525.00,0.17,0.82,0.04
530.00,0.24,0.88,0.03
535.00,0.30,0.92,0.02
540.00,0.38,0.96,0.01
545.00,0.45,0.98,0.01
550.00,0.53,0.99,0.00
555.00,0.62,1.00,0.00
560.00,0.71,1.00,0.00
565.00,0.79,0.98,0.00
570.00,0.88,0.96,0.00
575.00,0.95,0.92,0.00
580.00,1.01,0.87,0.00
585.00,1.07,0.83,0.00
590.00,1.12,0.78,0.00
595.00,1.13,0.72,0.00
600.00,1.12,0.66,0.00
605.00,1.09,0.59,0.00
610.00,1.03,0.53,0.00
615.00,0.95,0.46,0.00
620.00,0.86,0.40,0.00
625.00,0.75,0.34,0.00
630.00,0.65,0.28,0.00
635.00,0.54,0.23,0.00
640.00,0.43,0.18,0.00
645.00,0.34,0.14,0.00
650.00,0.27,0.11,0.00
655.00,0.20,0.08,0.00
660.00,0.15,0.06,0.00
665.00,0.11,0.04,0.00
670.00,0.08,0.03,0.00
675.00,0.06,0.02,0.00
680.00,0.04,0.02,0.00
685.00,0.03,0.01,0.00
690.00,0.02,0.01,0.00
695.00,0.01,0.01,0.00
700.00,0.01,0.00,0.00
705.00,0.01,0.00,0.00
710.00,0.00,0.00,0.00
715.00,0.00,0.00,0.00
720.00,0.00,0.00,0.00
725.00,0.00,0.00,0.00
730.00,0.00,0.00,0.00
735.00,0.00,0.00,0.00
740.00,0.00,0.00,0.00
745.00,0.00,0.00,0.00
750.00,0.00,0.00,0.00
755.00,0.00,0.00,0.00
760.00,0.00,0.00,0.00
765.00,0.00,0.00,0.00
770.00,0.00,0.00,0.00
775.00,0.00,0.00,0.00
780.00,0.00,0.00,0.00
785.00,0.00,0.00,0.00
790.00,0.00,0.00,0.00
795.00,0.00,0.00,0.00
800.00,0.00,0.00,0.00
805.00,0.00,0.00,0.00
810.00,0.00,0.00,0.00
815.00,0.00,0.00,0.00
820.00,0.00,0.00,0.00
825.00,0.00,0.00,0.00
830.00,0.00,0.00,0.00
